contract_id,summary,termination_clause,confidentiality_clause,liability_clause,error
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,"The purpose of this agreement is to develop additional features for the Pelican Delivers software, including POS integration and payment processing. Seattle Software Developers is obligated to complete the project within six months, with payment schedules tied to milestones. The client is obligated to pay $279,000 in five installments of $55,800. Notable risks include unforeseen circumstances that may change the project estimate, and there are no specified liability caps or termination penalties in the provided contract excerpt.",Clause Not Present,Clause Not Present,Clause Not Present,
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,"The Consulting and Product Development Agreement is between Emerald Health Sciences Inc., Emerald Health Nutraceuticals Inc., and Michael T. Murray. The purpose is to outline responsibilities, rights, and terms for product development and consulting services. EHS and EHN will bear development and marketing costs, while Dr. Murray will provide guidance and services. Notable risks include termination penalties, with a 60-day notice period, and potential liability for breach of the agreement. Dr. Murray will also receive compensation, including a monthly fee, options to purchase EHS common stock, and royalties on net sales of developed products.","6.2 Termination EHS or EHN, on the one hand, and Dr. Murray, on the other, may terminate any Services Term of this Agreement by delivering 60 days written notice to the other party. Notwithstanding the foregoing, EHS or EHN may immediately terminate the Services Term without notice should Dr. Murray be in breach of this Agreement.",Clause Not Present,Clause Not Present,
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"The Co-Branding and Advertising Agreement between i-Escrow and 2TheMart aims to promote i-Escrow's escrow services to 2TheMart's auction users. i-Escrow will develop a co-branded site and information transfer mechanism, while 2TheMart will promote the services to its users. Each party is responsible for their own development and hosting costs. The agreement includes provisions for advertising fees, reporting, and audit rights. Either party can terminate the agreement if the launch date is not met within four months or if an agreement on the information transfer mechanism cannot be reached within two months.","8.2 TERMINATION FOR BREACH. In addition to other remedies that may be available to it, by providing written notice, a party may immediately terminate this Agreement: (a) if the other party materially breaches this Agreement and fails to cure that breach within sixty (60) days after receiving written notice of the breach, or (b) as provided in Sections 2.2 [INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT], 2.4 [RESTRICTIONS ON COMMUNICATIONS], or 12.4. 8.3 TERMINATION FOR CHANGE IN COMPANY STRUCTURE. If a majority of the equity securities of either 2TheMart or i-Escrow, Inc. (except that i-Escrow may sell all or a majority of its equity securities or voting interests to i-Escrow.com, and i-Escrow.com may sell all or a majority of its equity securities or voting interests to i-Escrow's existing shareholders, without triggering the foregoing) are acquired by another company during the term of this Agreement either company may terminate this Agreement, without liability, by giving a thirty (30) days written notice to the other party. 8.4 TERMINATION FOR BANKRUPTCY. Either party may terminate or suspend this Agreement effective immediately and without liability upon written notice to the other party if any one of the following events occurs: (a) the other party files a voluntary petition in bankruptcy or otherwise seeks protection under any law for the protection of debtors; (b) a proceeding is instituted against the other party under any provision of any bankruptcy laws which is not dismissed within ninety (90) days; (c) the other party is adjudged bankrupt; (d) a court assumes jurisdiction of all or a substantial portion of the assets of the other party under a reorganization law; (e) a trustee or receiver is appointed by a court for all or a substantial portion of the assets of the other party; (f) the other party becomes insolvent, ceases or suspends all or substantially all of its business; or (g) the other party makes an assignment of the majority of its assets for the benefit of its creditors.","11. CONFIDENTIAL INFORMATION. A party's ""Confidential Information"" is defined as any confidential or proprietary information of a party which is disclosed to the other party in a writing marked confidential or, if disclosed orally, is identified as confidential at the time of disclosure and is subsequently reduced to a writing marked confidential and delivered to the other party within ten (10) days of disclosure. Each party shall hold the other party's Confidential Information in confidence and shall not disclose such Confidential Information to third parties nor use the other party's Confidential Information for any purpose other than as required to perform under this Agreement. Such restrictions shall not apply to Confidential Information which (a) is already known by the recipient, (b) becomes, through no act or fault of the recipient, publicly known, (c) is received by recipient from a third party without a restriction on disclosure or use, or (d) is independently developed by recipient without reference to the Confidential Information. The restriction on disclosure shall not apply to Confidential Information which is required to be disclosed by a court or government agency. Upon expiration or termination of this Agreement, within fourteen (14) days of the other party's request, each party will return all Confidential Information and other deliverables to the requesting party.",Clause Not Present,
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement_Option Agreement,"The Development and Option Agreement between Harpoon Therapeutics, Inc. and AbbVie Biotechnology Ltd aims to develop and commercialize Licensed Products in a specified territory. Harpoon grants an option to AbbVie to license intellectual property rights, while AbbVie is obligated to develop and commercialize the products. Each party has representations, warranties, and covenants, with AbbVie having additional termination rights. The agreement includes provisions for payments, records, and indemnification, with a disclaimer of warranties. Notable risks include termination for material breach, insolvency, or adverse rulings, with surviving obligations and accrued rights remaining in effect after termination.","If either Party (the “Non-Breaching Party”) believes that the other Party (the “ Breaching Party”) has materially breached one (1) or more of its material obligations under this Agreement, then the Non-Breaching Party may deliver notice of such material breach to the Breaching Party (a “ Default Notice ”). If the Breaching Party does not dispute that it has committed a material breach of one (1) or more of its material obligations under this Agreement, then if the Breaching Party fails to cure such breach within ninety (90) days after receipt of the Default Notice, or if such compliance cannot be fully achieved within such ninety- (90-) day period and the Breaching Party has failed to commence compliance or has failed to use diligent efforts to achieve full compliance as soon thereafter as is reasonably possible, the Non-Breaching Party may terminate this Agreement upon written notice to the Breaching Party.","9.2 Confidentiality Obligations. At all times during the Term and for a period of [***] following termination or expiration hereof in its entirety, each Party shall, and shall cause its officers, directors, employees and agents to, keep confidential and not publish or otherwise disclose to a Third Party and not use, directly or indirectly, for any purpose, any Confidential Information furnished or otherwise made known to it, directly or indirectly, by the other Party, except to the extent such disclosure or use is expressly permitted by the terms of this Agreement or is necessary or reasonably useful for the performance of, or the exercise of such Party’s rights under, this Agreement.","EXCEPT (A) FOR FRAUD, WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, (B) FOR A PARTY’S BREACH OF ITS OBLIGATIONS UNDER [ARTICLE 9 OR SECTION 5.8], (C) AS PROVIDED UNDER [***] AND (D) TO THE EXTENT ANY SUCH DAMAGES ARE REQUIRED TO BE PAID TO A THIRD PARTY AS PART OF A CLAIM FOR WHICH A PARTY PROVIDES INDEMNIFICATION UNDER THIS ARTICLE 11, NEITHER PARTY NOR ANY OF ITS AFFILIATES SHALL BE LIABLE FOR INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES, INCLUDING LOSS OF PROFITS OR BUSINESS INTERRUPTION, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, TORT, NEGLIGENCE, BREACH OF STATUTORY DUTY OR OTHERWISE IN CONNECTION WITH OR ARISING IN ANY WAY OUT OF THE TERMS OF THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY OR THE USE OF THE LICENSED COMPOUNDS OR LICENSED PRODUCTS, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"The License, Development and Commercialization Agreement between Xencor and Aimmune aims to develop and commercialize Xencor's antibody, XmAb7195. Xencor grants a license to Aimmune to develop, manufacture, and commercialize the product. Aimmune is obligated to use commercially reasonable efforts to develop and commercialize the product. The agreement outlines various definitions, terms, and conditions, but specific risks or penalties are not explicitly stated in the provided excerpt. The parties are expected to comply with applicable laws and regulations, including anti-corruption laws.","13.2 Termination for Breach. Either Party may, without prejudice to any other remedies available to it at law or in equity, terminate this Agreement upon written notice to the other Party in the event that the other Party (the “Breaching Party”) shall have materially breached or defaulted in the performance of any of its obligations. The Breaching Party shall have sixty (60) days (thirty (30) days in the event of non-payment) after written notice thereof was provided to the Breaching Party by the non-breaching Party to remedy such default. Unless the Breaching Party has cured any such breach or default prior to the expiration of such sixty (60) day period (thirty (30) day period for non-payment), such termination shall become effective upon receipt of the written notice of termination by the Breaching Party to be given within ten (10) days of the end of such sixty (60) day period (thirty (30) day period for non-payment). Notwithstanding the foregoing, in the event that Aimmune as the Breaching Party has materially breached or defaulted in the performance of any of its payment obligations under this Agreement a third time or more in any three (3) year period, then Xencor shall have the right to terminate this Agreement immediately by providing written notice Aimmune, without Aimmune having opportunity to cure such breach or default. 13.3 Termination as a Result of Bankruptcy. Each Party shall have the right to terminate this Agreement upon written notice as a result of the filing or institution of bankruptcy, reorganization, liquidation or receivership proceedings, or upon an assignment of a substantial portion of the assets for the benefit of creditors by the other Party; provided that such termination shall be effective only if such proceeding is not dismissed within ninety (90) days after the filing thereof. 13.4 Termination by Aimmune. Aimmune may terminate this Agreement in its entirety at any time for its convenience upon sixty (60) days’ prior written notice to Xencor.","12.1.1 The Parties agree that during the Term, and for a period of [***] ([***]) years thereafter, a Party receiving Confidential Information of the other Party will (X) maintain in confidence such Confidential Information to the same extent such Party maintains its own proprietary information of similar kind and value, and, in any event, no less than a reasonable standard of care, (Y) not disclose such Confidential Information to any Third Party without the prior written consent of the other Party, except as otherwise expressly permitted below, and (Z) not use such Confidential Information for any purpose except those permitted by this Agreement.","11.4 Limitation of Liability. NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, OR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, OR INDIRECT DAMAGES ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"This agreement is between National CineMedia, LLC and Digital Cinema Destinations Corp, aiming to expand NCM's advertising footprint in the markets served by Network Affiliate. NCM will provide its Digital Content Service, and Network Affiliate will accept and display it in its theatres. NCM will install necessary equipment, with costs capped at $9,000 per screen for small d Equipment. Network Affiliate may convert theatres to Big D technology at its own expense. The agreement outlines various terms, including advertising revenue share, exclusivity, and confidentiality, but does not specify notable risks or penalties in the provided excerpt.","Section 8.2 Termination by Either Party. Either Party may terminate this Agreement, immediately, by giving written notice of termination to the other, and without prejudice to any other rights or remedies the terminating party may have, if: (a) The other Party breaches any material provision of this Agreement, other than any provision of Section 14.8 or Articles V or XIII, and fails to cure such breach within thirty (30) days after receipt from the terminating party of written notice of the breach. (b) The other Party breaches any provision of Section or 14.8 or Articles V or XIII, and, to the extent such breach is susceptible to cure, fails to cure such breach within five (5) days after receipt from the terminating party of written notice of the breach. Notwithstanding anything else to the contrary herein, if the breach is not susceptible to cure, this Agreement will terminate immediately as of such breach, with or without any notice from the terminating party.","Section 13.1 Confidential Treatment. Each party acknowledges that the other’s Confidential Information contains valuable trade secret and proprietary information of that party. Each party agrees to permanently hold, and cause its personnel to hold, all Confidential Information of the other party in strict confidence, except that each party may: (i) disclose the Confidential Information of the other party that is required to be disclosed by governmental agencies, regulatory authorities, or pursuant to court order, but only to the extent such disclosure is required by law and only if such party provides prompt prior written notice to the other party of the disclosure, and (ii) subject to the terms and conditions of this Agreement, use the Confidential Information of the other party only to the extent necessary to perform its obligations under this Agreement.","EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIV HEREUNDER, AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, THE AGGREGATE TOTAL LIABILITY OF EITHER PARTY TO THE OTHER PARTY AND TO ALL OTHER PERSONS AND ENTITIES UNDER THIS AGREEMENT SHALL UNDER NO CIRCUMSTANCES EXCEED THE AMOUNT OF THE NET REVENUE RECEIVED BY NCM PURSUANT TO SECTION 7.2 OF THIS AGREEMENT DURING THE FIVE (5) YEAR PERIOD PRECEDING SUCH LIABILITY, LESS IN ANY CASE THE AGGREGATE OF ANY AMOUNTS PAID BY NCM HEREUNDER ON ACCOUNT OF PREVIOUS EVENTS OF LIABILITY.",
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement,"The agreement is between Erchonia Corporation and InnerScope Hearing Technologies Inc for the exclusive distribution of low-level laser products. Erchonia grants InnerScope the right to promote, distribute, and sell the products to licensed healthcare professionals. InnerScope must use its best efforts to market and sell the products, meet minimum performance goals, and maintain records of sales. InnerScope is also responsible for paying for products in a timely manner and complying with all applicable laws and regulations. Failure to meet performance goals or breaching the agreement may result in termination, and InnerScope may be liable for full payment of outstanding orders. Erchonia retains ownership of intellectual property rights and InnerScope must keep confidential any proprietary information disclosed to it.","b. Either party may terminate this Agreement in the event of a material breach by the other party, provided the breaching party is first given reasonably detailed, written notice of the breach. If the breach is not cured within ten days of such notice, the Agreement will terminate immediately. c. This Agreement may be terminated immediately by Erchonia under any of the following conditions: (a) if the Distributor is declared insolvent or bankrupt; (b) if a petition is filed in any court to declare Distributor bankrupt or for reorganization under the Bankruptcy Law or any similar statute and such petition is not dismissed within 30 days.","a. In connection with this Agreement, the Distributor will have disclosed to it or otherwise have access to information that is confidential and proprietary to Erchonia. Such information includes but is not limited to Product designs, methods and processes, know-how, business or marketing strategies, Product plans, plans for research and development, development tools, financial information, production costs and information, and supplier and customer lists and information and medical research conducted in pursuit of intended medical applications of the product. b. Distributor will not copy, reproduce, disclose, disseminate or provide any confidential information to any third party, without the prior written consent of Erchonia. In addition, Distributor agrees that it will use such confidential information only for the purpose of carrying out its obligations under this agreement. Upon termination of this agreement for any reason, Distributor will return all such confidential information and any copies of it to Erchonia and will remove and delete any such confidential information for any computers, computer systems or other electronic, magnetic or optical media in its possession or control.",Clause Not Present,
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"This Co-Development Agreement is between PhaseBio Pharmaceuticals Inc. and SFJ Pharmaceuticals X, Ltd. The purpose is to facilitate the development and approval of a pharmaceutical product for reversing the effects of the Ticagrelor Compound. PhaseBio will conduct clinical trials in the US and Europe, while SFJ will provide financing and support for trials in Asia. Each party is obligated to use commercially reasonable efforts to accomplish their objectives. Notable risks include potential claims and changes of control, which may trigger buy-out payments, but specific liability caps and termination penalties are not explicitly stated in the provided excerpt.",Clause Not Present,"10.1 Confidentiality. Except to the extent expressly authorized by this Agreement or otherwise agreed in writing by the Parties (including, if applicable, in the Program Transfer Agreement), each Party (each, a “Receiving Party”) agrees that, during the Term and for the [***] period following the expiration or termination of this Agreement (except that the obligations will survive thereafter with respect to any Confidential Information that constitutes a trade secret under Applicable Law) or such longer periods for which such Confidential Information may be maintained pursuant to ARTICLE 9, it will keep confidential and will not publish or otherwise disclose and will not use for any purpose other than as provided for in this Agreement or, if applicable, the Program Transfer Agreement (which includes the exercise of any rights or the performance of any obligations hereunder or thereunder) any Confidential Information furnished to it by or on behalf of the other Party (each, a “Disclosing Party”) or its Affiliates in connection with this Agreement or, if applicable, the Program Transfer Agreement.","12.1.1 By SFJ. SFJ will indemnify and hold PB; its Affiliates and their respective officers, directors, employees and agents (the “PB Indemnified Parties”), harmless from any and all Losses, net of any related tax benefit actually realized in the same year as the payment or incurrence of such Losses or any prior year, arising or resulting from any Claims by a Third Party against any PB Indemnified Parties to the extent arising from (a) the gross negligence or willful misconduct of SFJ or any of its Affiliates or any of its or their respective Permitted Third Parties in performing SFJ’s obligations under this Agreement or, if applicable, the Program Transfer Agreement; (b) SFJ’s material breach of this Agreement or, if applicable, the Program Transfer Agreement; (c) any material breach of a Protocol by SFJ, or its Affiliate, or any of its or their respective Permitted Third Parties; (d) any breach by SFJ of any provision of the AZ License by which SFJ has agreed to be bound in this Agreement; (e) a physical injury or death of a subject that is caused by the subject’s participation in any clinical trial conducted by or on behalf of SFJ or any of its Affiliates after a Program Transfer whether or not directly attributable to the Product(other than the Product manufactured by PB); and/or (f) from any after any Program Transfer, product liability claims resulting from the Commercialization of Product other than Product manufactured by PB by or on behalf of SFJ or any of its Affiliates, licensees or sublicensees; except to the extent that any of the foregoing (a) through (f) was caused by (i) the gross negligence or willful misconduct of any PB Indemnified Party, or (ii) material breach of this Agreement, or, if applicable, the Program Transfer Agreement, by PB. 12.1.2 By PB. PB will indemnify and hold SFJ, its Affiliates, SFJ’s investors and their respective officers, directors, employees and agents (the “SFJ Indemnified Parties”), harmless from any and all Losses, net of any related tax benefit actually realized in the same year as the payment or incurrence of such Losses or any prior year, arising or resulting from any Claims by a Third Party against any SFJ Indemnified Parties to the extent arising from (a) a Product supplied by PB; (b) a physical injury or death of a Subject that is caused by the Subject’s participation in the Clinical Trials whether or not directly attributable to the Product (excluding any Clinical Trial conducted by or on behalf of SFJ or its Affiliate after a Program Transfer); (c) PB’s gross negligence or willful misconduct in performing its obligations under this Agreement or, if applicable, the Program Transfer Agreement; (d) PB’s material breach of this Agreement or, if applicable, the Program Transfer Agreement, (e) any material breach of a Protocol by PB, or its Affiliate, or of its or their respective Permitted Third Parties, (f) actual or alleged infringement of any Third Party’s Intellectual Property by the Product or by either Party in performing its duties or obligations hereunder with respect to the Product; and (g) injuries sustained by Subjects in connection with the Clinical Trials, including Claims arising prior to the Effective Date based upon physical injury or death of a Subject in connection with the Clinical Trials, or from the Commercialization of the Product; except to the extent that any of the foregoing (a) through (g) were caused by (i) the gross negligence or willful misconduct of any SFJ Indemnified Party, or (ii) material breach of this Agreement, or, if applicable, the Program Transfer Agreement by, SFJ.",
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,"The agreement between Excite@Home and e-centives aims to distribute e-centives' content through the Excite Network and establish co-branded pages. Excite@Home will provide content and have editorial control over communications, while e-centives will develop and host the co-branded application. Each party has obligations to maintain and update their respective content and applications. Notable risks include the potential for changes to the co-branded application and the need for prior consent from Excite@Home for such changes, with a 15-day notice period for revisions.",Clause Not Present,"18. CONFIDENTIALITY a) For the purposes of this Agreement, 'Confidential Information' means information about the disclosing party's (or its suppliers') business or activities that is proprietary and confidential, which shall include all business, financial, technical and other information of a party marked or designated by such party as 'confidential' or 'proprietary'; or information which, by the nature of the circumstances surrounding the disclosure, ought in good faith to be treated as confidential. b) Confidential Information will not include information that (i) is in or enters the public domain without breach of this Agreement, (ii) the receiving party lawfully receives from a third party without restriction on disclosure and without breach of a nondisclosure obligation or (iii) the receiving party knew prior to receiving such information from the disclosing party or develops independently. c) Each party agrees (i) that it will not disclose to any third party or use any Confidential Information disclosed to it by the other except as expressly permitted in this Agreement and (ii) that it will take all reasonable measures to maintain the confidentiality of all Confidential Information of the other party in its possession or control, which will in no event be less than the measures it uses to maintain the confidentiality of its own information of similar importance. d) Notwithstanding the foregoing, each party may disclose Confidential Information (i) to the extent required by a court of competent jurisdiction or other governmental authority or otherwise as required by law or (ii) on a 'need-to-know' basis under an obligation of confidentiality to its legal counsel, accountants, banks and other financing sources and their advisors. e) The information contained in the Usage Reports provided hereunder will be deemed to be the Confidential Information of each party and will not be disclosed without the written consent of the other party. f) The terms and conditions of this Agreement will be deemed to be the Confidential Information of each party and will not be disclosed without the written consent of the other party.","20. LIMITATION OF LIABILITY Except as provided by Sections 19(a)(iii)(2), (a)(iii)(3), (b)(iii)(2) and (b)(iii)(3): a) Neither party will have liability for any damages other than direct damages. In no event will either party be liable to the other for any special, incidental or consequential damages, whether based on breach of contract, tort (including negligence) or otherwise, whether or not that party has been advised of the possibility of such damage. b) Either party's liability for damages shall be limited to the amounts actually paid by the other party.",
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement,"The Mobile Application Development Agreement is between VGrab Asia Ltd and a group of private software developers. The purpose is to develop a mobile application for Duesey Coffee's Chinese market. VGrab Asia Ltd is responsible for supplying graphics and design, while the developers will design and develop the application. The agreement has a six-month term, with payments totaling $200,000. Either party can terminate with two weeks' notice, with VGrab Asia Ltd compensating the developers on a pro-rata basis if they terminate. The agreement is governed by Hong Kong law, and intellectual property rights belong to VGrab Asia Ltd.","VAL shall, in the event of Developer committing any breach of any of the terms and conditions of this agreement or for any other reason considered as sufficient, be entitled to terminate this agreement by giving two (2) weeks’ notice in writing and it is applicable only when the project is not completed. If the customer terminates the agreement, then VAL shall compensate the Developer up to the date of termination with a fee calculated on Pro-rata basis. Developer may also terminate this Agreement by giving two (2) weeks’ notice in writing to VAL.","Any information, data and/or contents of documents made available by a party hereto to the other for the purposes of this Agreement hereby contemplated shall not, without the prior written consent of such party, be disclosed to any person, firm or corporation (and to only such extent for) the implementation of the Agreement. Such information, data and/or contents of documents may be disclosed to officers, employees, auditors, solicitors and other professional advisors of this Agreement but only to the extent required in each instance for the implementation of the Agreement hereby contemplated. Each party hereto hereby undertakes with the other party hereto, and to the intent that such undertaking shall have full force and effect notwithstanding that such party shall cease to participate in the Agreement, that it will not, without the prior written consent of the other party hereto, divulge to any person, firm or corporation, any information on technical, economic, financial and marketing matters and any material, data and/or contents of documents received by such party hereto from the other party hereto relating to the Agreement except where (but only to the extent that) disclosure is required by law and will ensure that its employees and agents shall at all times observe this clause.",Clause Not Present,
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,"This Development Agreement is between Stryker and Conformis, aiming to develop Patient-Specific Instrumentation for Stryker's Off-The-Shelf Knee Implant. Stryker desires Conformis to develop this instrumentation according to the R&D Program. The parties have various obligations, including Conformis developing the KIB Product and Stryker providing necessary background IP. Notable risks include Insolvency Events and potential termination, with the agreement outlining procedures for termination notices and potential indemnification of certain parties. The agreement also defines various terms and intellectual property rights, including Conformis and Stryker Background IP.","(a) Dissolution or Insolvency Event. Either Party may terminate this Agreement effective immediately upon delivery of a Termination Notice if the other Party is (A) dissolved or is seeking to dissolve itself under applicable corporate law other than as part of a corporate restructuring under which its assets were first transferred to an assignee under this Agreement in accordance with Section 10.2; or (B) (i) becomes subject to an Insolvency Event, provided that, no termination right shall exist in respect of an Insolvency Event that is a chapter 11 case under the Bankruptcy Code if the Party subject to such chapter 11 case (x) continues to perform all of its material obligations under this Agreement, (y) does not seek to reject this Agreement or take any action in such chapter 11 case to disavow or undermine the rights of the other Party under this Agreement, and (z) assumes this Agreement on or before any deadline in such chapter 11 case for such assumption; (b) Default. If any Party believes the other is in material breach of any of its material obligations under this Agreement in a manner other than as set forth in Article III to which this Section 8.2(b) does not apply, it may give notice of such material breach to the allegedly breaching Party, which Party shall have [**] (or such longer period of time as may be reasonably commensurate with the effort reasonably required to remedy such default) in which to remedy such default. If such alleged material breach is not remedied in the time period set forth above, the Party alleging material breach shall refer the matter to the chief executive officers of each Party, who shall meet and confer within [**] after notice from the non-breaching Party of its desire for such a meeting. If the Parties are unable to resolve any dispute in such meeting and no Action has been brought in accordance with Section 10.8 with respect to such dispute, the non-breaching Party may terminate this Agreement immediately upon delivery to the defaulting Party of a Termination Notice.","8.4 Return or Destruction of Confidential Information. Solely with respect to Confidential Information in which a Party has no ownership interest at all, owned or co-owned Confidential Information being exempt herefrom, upon termination of this Agreement, unless independently authorized to retain such of the Disclosing Party’s Confidential Information under an Other Agreement, each Receiving Party shall, and shall direct its Representatives to, cease all use and make no further use of any Confidential Information of the Disclosing Party and shall, upon written request from the Disclosing Party, promptly return or destroy all Confidential Information of the Disclosing Party (including copies thereof) that is in tangible form (provided, however, that, with respect to electronic imaging of the Disclosing Party's Confidential Information, such materials shall be deleted and removed from access by an ordinary user from all computer hard drives, servers and similar media but shall not require any action to delete or erase such materials from any disaster recovery tapes or other back-up media) and any documents created by the Receiving Party or any of its Representatives containing Confidential Information of the Disclosing Party.","7.2 Limitation of Liability. EXCEPT FOR [**], IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR [**], EVEN IF SUCH PARTY WAS ADVISED OR AWARE OF THE POSSIBILITY OF SUCH DAMAGES. CONFORMIS’ LIABILITY ON A PER OCCURRENCE BASIS UNDER SECTION 7.3(A)(IV) SHALL NOT EXCEED THE GREATER OF (I) $[**] AND (II) THE AMOUNT OF INSURANCE COVERAGE ACTUALLY PAID TO CONFORMIS UNDER THEN-CURRENT INSURANCE POLICIES OF CONFORMIS IN RESPECT OF SUCH DAMAGES.",
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,"The Master Joint Development Agreement between iBio Inc. and Beijing CC-Pharming Ltd. aims to establish a long-term working relationship for joint research and development projects. iBio grants CC-Pharming a non-exclusive license to use its technology for manufacturing and developing biopharmaceuticals in China. CC-Pharming will pay iBio in installments based on deliverables. The parties will share joint inventions and costs of patent protection. Each party is responsible for its own costs and expenses. The agreement outlines governance terms, including the appointment of project coordinators and agreement administrators to oversee the collaboration. Notable risks include the potential for disputes and the need for mutual agreement on modifications to the scope of work.",Clause Not Present,"7.3 Each of the parties agrees that for five (5) years from the date of disclosure, the receiving Party agrees to limit disclosure of the disclosing Party’s Confidential Information to those of the receiving party’s employees and contractors, and employees and contractors of its Subsidiaries, who have a need to know it, and the receiving Party agrees to use the same care and discretion to avoid disclosure, publication or dissemination outside of those employees and contractors as the receiving Party does with similar information of its own which it does not desire to publish, disclose or disseminate.","8.3 Except for claims arising out of Articles 4.3 and 7.0, or as may be set forth in a SOW, neither Party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility.",
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,"The purpose of this agreement is for Integrity Incorporated and Time Life, Inc. to co-brand and co-market a series of recorded compilations and companion song books featuring praise and worship repertoires. Integrity is responsible for obtaining master lease and print agreements, manufacturing the product, and selling to Time Life. Time Life will create artwork, pay mastering expenses, and hold exclusive worldwide rights to promote and sell the product through certain distribution channels. The parties will share equally in costs of additional products and will pay royalties to each other based on sales. There are no explicit liability caps or termination penalties mentioned in the provided excerpt.","In the event of a suspension owing to a 'force majeure,' which suspension exceeds six (6) consecutive months, the non-suspending party may terminate this Agreement upon ten (10) days written notice to other, but only if such 'force majeure' does not affect a substantial portion of the United States recording industry or the suspension is not lifted by the suspending party within ten (10) days of the receipt of the written notice from the other party. ... In the event of such an assignment by either party of its rights to an unrelated third party, the other party shall be given written notice, then in such event the other party may upon six-months (6-months) written notice terminate this Agreement.",Clause Not Present,Clause Not Present,
